state,honey_colonies,yield_per_col,production,stocks,avg_price_per_lb,prod_value,state_code,year
Alabama,16.0,78.0,1248.0,187.0,59.0,736.0,AL,2000
Arizona,40.0,59.0,2360.0,1322.0,73.0,1723.0,AZ,2000
Arkansas,55.0,93.0,5115.0,3529.0,57.0,2916.0,AR,2000
California,440.0,70.0,30800.0,11396.0,59.0,18172.0,CA,2000
Colorado,29.0,60.0,1740.0,957.0,62.0,1079.0,CO,2000
Florida,232.0,105.0,24360.0,2923.0,54.0,13154.0,FL,2000
Georgia,55.0,57.0,3135.0,376.0,63.0,1975.0,GA,2000
Hawaii,7.0,112.0,784.0,125.0,82.0,643.0,HI,2000
Idaho,100.0,47.0,4700.0,2679.0,52.0,2444.0,ID,2000
Illinois,8.0,61.0,488.0,146.0,117.0,571.0,IL,2000
Indiana,8.0,65.0,520.0,286.0,103.0,536.0,IN,2000
Iowa,30.0,67.0,2010.0,1206.0,68.0,1367.0,IA,2000
Kansas,15.0,68.0,1020.0,520.0,91.0,928.0,KS,2000
Kentucky,3.0,48.0,144.0,40.0,135.0,194.0,KY,2000
Louisiana,43.0,94.0,4042.0,1334.0,52.0,2102.0,LA,2000
Maine,11.0,21.0,231.0,143.0,75.0,173.0,ME,2000
Maryland,6.0,46.0,276.0,52.0,114.0,315.0,MD,2000
Michigan,72.0,75.0,5400.0,2970.0,60.0,3240.0,MI,2000
Minnesota,150.0,90.0,13500.0,3105.0,57.0,7695.0,MN,2000
Mississippi,17.0,72.0,1224.0,649.0,69.0,845.0,MS,2000
Missouri,23.0,75.0,1725.0,362.0,60.0,1035.0,MO,2000
Montana,124.0,88.0,10912.0,4692.0,59.0,6438.0,MT,2000
Nebraska,50.0,87.0,4350.0,2610.0,59.0,2567.0,NE,2000
Nevada,10.0,35.0,350.0,95.0,145.0,508.0,NV,2000
New Jersey,11.0,35.0,385.0,200.0,61.0,235.0,NJ,2000
New Mexico,15.0,64.0,960.0,739.0,72.0,691.0,NM,2000
New York,58.0,80.0,4640.0,2274.0,55.0,2552.0,NY,2000
North Carolina,11.0,49.0,539.0,243.0,143.0,771.0,NC,2000
North Dakota,300.0,115.0,34500.0,13800.0,57.0,19665.0,ND,2000
Ohio,18.0,65.0,1170.0,585.0,79.0,924.0,OH,2000
Oklahoma,7.0,35.0,245.0,64.0,126.0,309.0,OK,2000
Oregon,48.0,51.0,2448.0,1665.0,66.0,1616.0,OR,2000
Pennsylvania,22.0,45.0,990.0,554.0,76.0,752.0,PA,2000
South Dakota,235.0,121.0,28435.0,12796.0,58.0,16492.0,SD,2000
Tennessee,9.0,61.0,549.0,104.0,143.0,785.0,TN,2000
Texas,105.0,79.0,8295.0,2986.0,57.0,4728.0,TX,2000
Utah,24.0,41.0,984.0,462.0,60.0,590.0,UT,2000
Vermont,7.0,59.0,413.0,211.0,68.0,281.0,VT,2000
Virginia,7.0,42.0,294.0,103.0,150.0,441.0,VA,2000
Washington,52.0,54.0,2808.0,1151.0,58.0,1629.0,WA,2000
West Virginia,7.0,54.0,378.0,234.0,122.0,461.0,WV,2000
Wisconsin,84.0,90.0,7560.0,4385.0,68.0,5141.0,WI,2000
Alabama,14.0,73.0,1022.0,235.0,72.0,736.0,AL,2001
Arizona,43.0,59.0,2537.0,1142.0,72.0,1827.0,AZ,2001
Arkansas,58.0,98.0,5684.0,1876.0,65.0,3695.0,AR,2001
California,425.0,65.0,27625.0,7735.0,69.0,19061.0,CA,2001
Colorado,26.0,55.0,1430.0,529.0,71.0,1015.0,CO,2001
Florida,220.0,100.0,22000.0,3432.0,64.0,14080.0,FL,2001
Georgia,55.0,57.0,3135.0,188.0,70.0,2195.0,GA,2001
Hawaii,8.0,87.0,696.0,84.0,87.0,606.0,HI,2001
